 total_inn.,totim,kper,kstp,nouter,dvmax,dvmax_loc,dinflowmax,dinflowmax_loc                                           
 162,1.000000000000000,1,1,81,.000000000000000,1,.000000000000000,1                                                    
 164,1.000000000000000,1,1,82,.000000000000000,1,.000000000000000,1                                                    
 166,1.000000000000000,1,1,83,.000000000000000,1,.000000000000000,1                                                    
 168,1.000000000000000,1,1,84,.000000000000000,1,.000000000000000,1                                                    
 170,1.000000000000000,1,1,85,.000000000000000,1,.000000000000000,1                                                    
 172,1.000000000000000,1,1,86,.000000000000000,1,.000000000000000,1                                                    
 174,1.000000000000000,1,1,87,.000000000000000,1,.000000000000000,1                                                    
 176,1.000000000000000,1,1,88,.000000000000000,1,.000000000000000,1                                                    
 178,1.000000000000000,1,1,89,.000000000000000,1,.000000000000000,1                                                    
 180,1.000000000000000,1,1,90,.000000000000000,1,.000000000000000,1                                                    
 182,1.000000000000000,1,1,91,.000000000000000,1,.000000000000000,1                                                    
 184,1.000000000000000,1,1,92,.000000000000000,1,.000000000000000,1                                                    
 186,1.000000000000000,1,1,93,.000000000000000,1,.000000000000000,1                                                    
 189,1.000000000000000,1,1,94,.000000000000000,1,.000000000000000,1                                                    
 190,1.000000000000000,1,1,95,.000000000000000,1,.000000000000000,1                                                    
